"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-25","0.12","54",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-26","0.00","54",,"38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-27","0.00","56",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-28","0.00","59",,"39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-29","0.00","62",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-30","0.00","61","84","42"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-01","0.00","55","84","42"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-02","0.00","54","69","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-03","0.00","56",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-04","0.00","58",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-05","0.00","55","80","40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-06","0.00","53","71","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-07","0.00","53",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-08","0.39","57",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-09","0.00","58",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-10","0.00","55","67","49"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-11","0.25","55","61",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-12","0.48","56",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-13","0.00","59",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-14","0.00","55","70",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-15","0.00","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-16","0.00","52","66",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-17","0.00","53",,"47"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-18","0.27","49","58","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-19","0.12","45",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-20","0.00","47",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-21","0.00","49","63","36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-22","0.00","49","63","42"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-23","0.00","49","57","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-24","0.00","48",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-25","0.24","50","57","48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-26","0.08","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-27","0.00","51","65",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-28","0.00","49","65","38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-29","0.00","51",,"44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-30","0.00","48",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-05-31","0.00","50",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-01","0.00","50","68","36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-02","0.00","47","64","37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-03","0.00","49",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-04","0.00","45","58","33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-05","0.00","44","58","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-06-06","0.00","42",,"27"
